[{I} |08-19 15:55:54.831 1787126154] ---->>[pvr_event_notify] SKYFM_ADD_DEVICE, dev_name:TF卡 disk_status:0
[{D} |08-19 15:55:55.620 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.620 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.628 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.628 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.628 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{I} |08-19 15:55:55.649 1787126155] HH_GetNTP ntpTimeZone GMT-8:00
[{E} |08-19 15:55:55.663 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.663 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.663 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.664 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.668 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.668 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.668 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.693 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.693 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.693 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.696 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.696 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.696 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.711 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.711 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.711 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.711 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.730 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.730 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.730 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.750 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.750 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.750 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.758 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.759 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.760 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.771 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.772 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.772 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.772 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.793 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.793 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.793 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.811 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.811 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.811 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.826 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.826 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.826 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.831 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.831 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.831 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.831 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.850 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.851 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.851 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.872 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.872 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.873 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.892 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.892 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.892 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.895 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.895 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.895 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.910 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.911 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.911 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.911 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.930 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.931 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.931 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.951 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.952 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.952 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.958 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.959 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.959 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.971 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.971 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:55.971 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.971 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:55.992 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:55.992 1787126155] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:55.992 1787126155] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.010 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.010 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.010 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.027 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.027 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.027 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.031 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.031 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:56.031 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.032 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.050 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.050 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.050 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.070 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.070 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.070 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.094 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.094 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.095 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.096 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.096 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:56.096 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.096 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.102 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.102 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.102 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.140 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.140 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.140 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.158 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.158 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.158 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.162 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.162 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:55:56.162 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.162 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.162 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.162 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.180 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.180 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.180 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.221 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.221 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:55:56.221 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:55:56.229 1787126156] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:55:56.229 1787126156] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

